"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3837814_427568","3837814","427568","11","11","2022-08-05","Aaron Ramsdale","GB1",0,0,0,0,90
"3837814_433177","3837814","433177","11","11","2022-08-05","Bukayo Saka","GB1",0,0,0,0,90
"3837814_435338","3837814","435338","11","11","2022-08-05","Gabriel Magalhães","GB1",0,0,0,0,90
"3837814_479999","3837814","479999","873","873","2022-08-05","Eberechi Eze","GB1",0,0,0,0,86
"3837814_495666","3837814","495666","11","11","2022-08-05","William Saliba","GB1",0,0,0,0,90
"3837814_512354","3837814","512354","873","54189","2022-08-05","Malcolm Ebiowei","GB1",0,0,0,0,4
"3837814_543387","3837814","543387","873","873","2022-08-05","Cheick Doucouré","GB1",0,0,0,0,75
"3837814_64399","3837814","64399","873","940","2022-08-05","Vicente Guaita","GB1",0,0,0,0,90
"3837814_655488","3837814","655488","11","11","2022-08-05","Gabriel Martinelli","GB1",0,0,1,0,90
"3837814_730893","3837814","730893","873","873","2022-08-05","Tyrick Mitchell","GB1",0,0,0,0,90
"3837814_74300","3837814","74300","873","873","2022-08-05","Luka Milivojevic","GB1",0,0,0,0,15
"3837814_85177","3837814","85177","873","873","2022-08-05","Nathaniel Clyne","GB1",1,0,0,0,90
"3839025_106987","3839025","106987","27","16","2022-08-05","Marcel Sabitzer","L1",0,0,0,0,57
"3839025_159471","3839025","159471","27","27","2022-08-05","Serge Gnabry","L1",0,0,1,1,65
"3839025_159844","3839025","159844","24","23826","2022-08-05","Christopher Lenz","L1",0,0,0,0,45
"3839025_161011","3839025","161011","24","506","2022-08-05","Filip Kostić","L1",1,0,0,0,74
"3839025_161056","3839025","161056","27","27","2022-08-05","Joshua Kimmich","L1",0,0,1,0,90
"3839025_17259","3839025","17259","27","27","2022-08-05","Manuel Neuer","L1",0,0,0,0,90
"3839025_192565","3839025","192565","27","27","2022-08-05","Leroy Sané","L1",0,0,0,1,25
"3839025_200512","3839025","200512","27","27","2022-08-05","Sadio Mané","L1",0,0,1,0,90
